pmid,pmcid,title,category,pmc_link,download_link
35153293,PMC8855328,Recurrent COVID-19 Polymerase Chain Reaction (PCR) Positivity in 2 Patients During the Current Health Care System Crisis.,case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC8855328/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8855328/pdf/amjcaserep-23-e935414.pdf
34727992,PMC8561376,Post-coronavirus disease 2019 polyneuropathy with significant response to immunoglobulin therapy: a case report.,case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC8561376/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8561376/pdf/13256_2021_Article_3148.pdf
33860871,PMC8050227,Autonomic dysfunction following COVID-19 infection: an early experience.,case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC8050227/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8050227/pdf/10286_2021_Article_803.pdf
38321404,PMC10848453,"The global prevalence of depression, anxiety, and sleep disorder among patients coping with Post COVID-19 syndrome (long COVID): a systematic review and meta-analysis.",clinical trial phase three,https://pmc.ncbi.nlm.nih.gov/articles/PMC10848453/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10848453/pdf/12888_2023_Article_5481.pdf
36990297,PMC10067136,COVID-19 vaccination for the prevention and treatment of long COVID: A systematic review and meta-analysis.,clinical trial phase three,https://pmc.ncbi.nlm.nih.gov/articles/PMC10067136/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10067136/pdf/main.pdf
35339066,PMC8934180,Call for correction: Mid and long-term neurological and neuropsychiatric manifestations of post-COVID-19 syndrome: A meta-analysis.,clinical trial phase three,https://pmc.ncbi.nlm.nih.gov/articles/PMC8934180/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8934180/pdf/main.pdf
35121209,PMC8798975,Mid and long-term neurological and neuropsychiatric manifestations of post-COVID-19 syndrome: A meta-analysis.,clinical trial phase three,https://pmc.ncbi.nlm.nih.gov/articles/PMC8798975/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8798975/pdf/main.pdf
34973396,PMC8715665,Fatigue and cognitive impairment in Post-COVID-19 Syndrome: A systematic review and meta-analysis.,clinical trial phase three,https://pmc.ncbi.nlm.nih.gov/articles/PMC8715665/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8715665/pdf/main.pdf
40065313,PMC11895281,The legacy of the COVID-19 pandemic for the healthcare environment: the establishment of long COVID/ Post-COVID-19 condition follow-up outpatient clinics in Germany.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11895281/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11895281/pdf/12913_2025_Article_12521.pdf
40003486,PMC11855376,Comparative Analysis of Submaximal and Maximal Effort Capacities in Patients Post-COVID-19 and Individuals with Chronic Restrictive Lung Diseases.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11855376/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11855376/pdf/ijerph-22-00261.pdf
39905419,PMC11792378,Balneotherapy for the treatment of post-COVID syndrome: a randomized controlled trial.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11792378/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11792378/pdf/12906_2025_Article_4784.pdf
39665835,PMC11922198,Exercise rehabilitation in post COVID-19 patients: a randomized controlled trial of different training modalities.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922198/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922198/pdf/15-8487-EJPRM_N.pdf
39519343,PMC11546864,"Neutrophil Elastase, Neuron-Specific Enolase, and S100B Protein as Potential Markers of Long-Term Complications Caused by COVID-19 in Patients with Type 2 Diabetes Mellitus (T2DM) and Advanced Stage of Diabetic Nephropathy (NfT2DM)-Observational Studies.",clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11546864/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11546864/pdf/ijms-25-11791.pdf
39472948,PMC11520684,Digital rehabilitation care planning for people with chronic diseases (RehaPro-SERVE): study protocol for a German multicentre randomised controlled trial.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11520684/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11520684/pdf/13063_2024_Article_8571.pdf
38937986,PMC11446691,Telerehabilitation improves cardiorespiratory and muscular fitness and body composition in older people with post-COVID-19 syndrome.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11446691/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11446691/pdf/JCSM-15-1785.pdf
38899867,PMC11528924,Function and activity capacity at 1 year after the admission to intensive care unit for COVID-19.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11528924/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11528924/pdf/10.1177_02692155241262871.pdf
39285491,PMC11404027,A prospective non-randomized controlled trial testing the effectiveness of psychotherapeutic inpatient treatment of Post-COVID-19 syndrome - study protocol.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11404027/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11404027/pdf/40359_2024_Article_1974.pdf
38739435,PMC11130769,"Evaluating the Feasibility, Acceptance, and Beneficial Effects of Online Occupational Therapy for Post-COVID-19 Condition: Protocol for a Randomized Controlled Trial (ErgoLoCo Study).",clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11130769/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11130769/pdf/
38678234,PMC11055275,Cancer-related fatigue and activities of daily living: lessons learned from the COVID-19 pandemic.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11055275/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11055275/pdf/12904_2024_Article_1437.pdf
38528512,PMC10964649,Effect of home-based pulmonary rehabilitation on exercise capacity in post COVID-19 patients: a randomized controlled trail.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10964649/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10964649/pdf/12984_2024_Article_1340.pdf
38424415,PMC10904373,Characteristic functional connectome related to Post-COVID-19 syndrome.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10904373/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10904373/pdf/41598_2024_Article_54554.pdf
38184567,PMC10771676,"Feasibility, safety and effectiveness of prednisolone and vitamin B1, B6, and B12 in patients with post-COVID-19-syndrome (PreVitaCOV) - protocol of a randomised, double-blind, placebo-controlled multicentre trial in primary care (phase IIIb).",clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10771676/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10771676/pdf/12879_2023_Article_8925.pdf
38055548,PMC10695477,Unsupervised natural language processing in the identification of patients with suspected COVID-19 infection.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10695477/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10695477/pdf/1678-4464-csp-39-11-PT243722.pdf
37507580,PMC10542303,Persistent endothelial dysfunction in post-COVID-19 syndrome and its associations with symptom severity and chronic inflammation.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10542303/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10542303/pdf/10456_2023_Article_9885.pdf
37681837,PMC10488264,Post-COVID-19 Syndrome: Audiometric Findings in Patients with Audiological Symptoms.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10488264/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10488264/pdf/ijerph-20-06697.pdf
37055254,PMC9981521,"Comparison of two antifibrotic treatments for lung fibrosis in post-COVID-19 syndrome: A randomized, prospective study.",clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC9981521/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9981521/pdf/main.pdf
37301934,PMC10257166,The effect of hyperbaric oxygen therapy on myocardial function in post-COVID-19 syndrome patients: a randomized controlled trial.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10257166/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10257166/pdf/41598_2023_Article_36570.pdf
37291679,PMC10248954,Post-acute COVID-19 in three doses vaccinated autoimmune rheumatic diseases patients: frequency and pattern of this condition.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10248954/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10248954/pdf/42358_2023_Article_309.pdf
37286327,PMC10335413,Impact of fatigue as the primary determinant of functional limitations among patients with post-COVID-19 syndrome: a cross-sectional observational study.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10335413/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10335413/pdf/bmjopen-2022-069217.pdf
36996121,PMC10062549,Chronic cough in post-COVID syndrome: Laryngeal electromyography findings in vagus nerve neuropathy.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10062549/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10062549/pdf/pone.0283758.pdf
36476156,PMC9829459,"Effects of a concurrent training, respiratory muscle exercise, and self-management recommendations on recovery from post-COVID-19 conditions: the RECOVE trial.",clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC9829459/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9829459/pdf/
36410797,PMC9680157,HEART rate variability biofeedback for long COVID symptoms (HEARTLOC): protocol for a feasibility study.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC9680157/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9680157/pdf/bmjopen-2022-066044.pdf
36361102,PMC9654654,Prevalence of Insomnia in the Early Post-COVID-19 Recovery Period.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC9654654/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9654654/pdf/ijerph-19-14224.pdf
36121338,PMC9608026,Influence of Manual Diaphragm Release Technique Combined with Inspiratory Muscle Training on Selected Persistent Symptoms in Men with Post-Covid-19 Syndrome: A Randomized Controlled Trial.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC9608026/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9608026/pdf/JRM-54-3972.pdf
36242061,PMC9568911,Kangyi Qiangshen Gong exercise prescription for pulmonary function and quality of life in patients recovered from COVID-19: a study protocol for a randomized controlled trial.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC9568911/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9568911/pdf/13063_2022_Article_6817.pdf
36042189,PMC9426365,A prospective observational study of post-COVID-19 chronic fatigue syndrome following the first pandemic wave in Germany and biomarkers associated with symptom severity.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC9426365/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9426365/pdf/41467_2022_Article_32507.pdf
35994441,PMC9394845,Comparison between the persistence of post COVID-19 symptoms on critical patients requiring invasive mechanical ventilation and non-critical patients.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC9394845/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9394845/pdf/pone.0273041.pdf
35301101,PMC8920113,Assessing the impact of COVID-19 at 1-year using the SF-12 questionnaire: Data from the Anticipate longitudinal cohort study.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC8920113/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8920113/pdf/main.pdf
34676578,PMC8662016,The COVID-19 Yorkshire Rehabilitation Scale (C19-YRS): Application and psychometric analysis in a post-COVID-19 syndrome cohort.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC8662016/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8662016/pdf/JMV-94-1027.pdf
35131031,PMC8896831,Investigating phenotypes of pulmonary COVID-19 recovery: A longitudinal observational prospective multicenter trial.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC8896831/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8896831/pdf/elife-72500.pdf
34857010,PMC8637041,"A randomised controlled trial testing the efficacy of Fit after COVID, a cognitive behavioural therapy targeting severe post-infectious fatigue following COVID-19 (ReCOVer): study protocol.",clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC8637041/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8637041/pdf/13063_2021_Article_5569.pdf
34494964,PMC8457337,Severe Fatigue in Long COVID: Web-Based Quantitative Follow-up Study in Members of Online Long COVID Support Groups.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC8457337/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8457337/pdf/
33831043,PMC8031743,Post-COVID-19 syndrome among symptomatic COVID-19 patients: A prospective cohort study in a tertiary care center of Bangladesh.,clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC8031743/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8031743/pdf/pone.0249644.pdf
33785495,PMC8727683,"Multiorgan impairment in low-risk individuals with post-COVID-19 syndrome: a prospective, community-based study.",clinical study,https://pmc.ncbi.nlm.nih.gov/articles/PMC8727683/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8727683/pdf/bmjopen-2020-048391.pdf
39934846,PMC11818037,Assessment of psychosocial aspects in adults in post-COVID-19 condition: the EURONET-SOMA recommendations on core outcome domains for clinical and research use.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC11818037/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11818037/pdf/12916_2025_Article_3927.pdf
39183058,PMC11436955,"Long COVID among healthcare workers: a narrative review of definitions, prevalence, symptoms, risk factors and impacts.",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC11436955/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11436955/pdf/ldae008.pdf
38392036,PMC10886368,The Growing Understanding of the Pituitary Implication in the Pathogenesis of Long COVID-19 Syndrome: A Narrative Review.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC10886368/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10886368/pdf/arm-92-00013.pdf
38139400,PMC10743535,Resveratrol and Gut Microbiota Synergy: Preventive and Therapeutic Effects.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC10743535/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10743535/pdf/ijms-24-17573.pdf
38004010,PMC10673195,Post-COVID-19 and Irritable Bowel Syndrome: A Literature Review.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC10673195/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10673195/pdf/medicina-59-01961.pdf
37359549,PMC10287165,"The multifaceted nature of IL-10: regulation, role in immunological homeostasis and its relevance to cancer, COVID-19 and post-COVID conditions.",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC10287165/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10287165/pdf/fimmu-14-1161067.pdf
37106076,PMC10136381,Post-COVID-More than chronic fatigue?,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC10136381/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10136381/pdf/59_2023_Article_5170.pdf
36174796,PMC9512521,Post-COVID cholangiopathy: A narrative review.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9512521/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9512521/pdf/main.pdf
37241050,PMC10221134,COVID-19 and Sleep Disturbances: A Literature Review of Clinical Evidence.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC10221134/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10221134/pdf/medicina-59-00818.pdf
37047556,PMC10094973,COVID-19 and Diarylamidines: The Parasitic Connection.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC10094973/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10094973/pdf/ijms-24-06583.pdf
36708608,PMC9840228,Towards evidence-based and inclusive models of peer support for long covid: A hermeneutic systematic review.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9840228/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9840228/pdf/main.pdf
36851746,PMC9964207,Post-COVID-19 Syndrome Comprehensive Assessment: From Clinical Diagnosis to Imaging and Biochemical-Guided Diagnosis and Management.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9964207/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9964207/pdf/viruses-15-00533.pdf
36937488,PMC10015558,Post-COVID-19 syndrome: Insights into a novel post-infectious systemic disorder.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC10015558/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10015558/pdf/JMedLife-16-195.pdf
35839441,PMC9828583,Cardiac Complications of COVID-19 Infection and the Role of Physical Activity.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9828583/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9828583/pdf/jcprh-43-8.pdf
36560801,PMC9784943,"Efficacy of Therapeutic Exercise in Reversing Decreased Strength, Impaired Respiratory Function, Decreased Physical Fitness, and Decreased Quality of Life Caused by the Post-COVID-19 Syndrome.",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9784943/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9784943/pdf/viruses-14-02797.pdf
36379152,PMC9637536,Role of SARS-CoV-2-induced cytokine storm in multi-organ failure: Molecular pathways and potential therapeutic options.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9637536/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9637536/pdf/main.pdf
36560604,PMC9781151,A Comprehensive Report of German Nationwide Inpatient Data on the Post-COVID-19 Syndrome Including Annual Direct Healthcare Costs.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9781151/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9781151/pdf/viruses-14-02600.pdf
35138001,PMC9111040,Neurological complications associated with Covid-19; molecular mechanisms and therapeutic approaches.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9111040/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9111040/pdf/RMV-9999-0.pdf
35489015,PMC9055372,Evidence mapping and review of long-COVID and its underlying pathophysiological mechanism.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9055372/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9055372/pdf/15010_2022_Article_1835.pdf
35780756,PMC9187867,Cognitive impairment in people with previous COVID-19 infection: A scoping review.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9187867/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9187867/pdf/main.pdf
36016309,PMC9413998,Pathogenic Connections in Post-COVID Conditions: What Do We Know in the Large Unknown? A Narrative Review.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9413998/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9413998/pdf/viruses-14-01686.pdf
35177424,PMC9258567,Molecular Imaging Findings on Acute and Long-Term Effects of COVID-19 on the Brain: A Systematic Review.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9258567/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9258567/pdf/jnm263085.pdf
35632823,PMC9147674,Dysregulated Immune Responses in SARS-CoV-2-Infected Patients: A Comprehensive Overview.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9147674/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9147674/pdf/viruses-14-01082.pdf
35302260,PMC9111001,Therapeutic and prophylactic effect of flavonoids in post-COVID-19 therapy.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9111001/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9111001/pdf/PTR-36-2042.pdf
35182777,PMC8848724,The autonomic aspects of the post-COVID19 syndrome.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8848724/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8848724/pdf/main.pdf
35457093,PMC9028501,Dissecting the Molecular Mechanisms Surrounding Post-COVID-19 Syndrome and Neurological Features.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9028501/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9028501/pdf/ijms-23-04275.pdf
35334962,PMC8954128,Dietary Recommendations for Post-COVID-19 Syndrome.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8954128/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8954128/pdf/nutrients-14-01305.pdf
35309344,PMC8924116,NETosis and Neutrophil Extracellular Traps in COVID-19: Immunothrombosis and Beyond.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8924116/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8924116/pdf/fimmu-13-838011.pdf
34655247,PMC8661973,Covid-19 sequelae in working age patients: A systematic review.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8661973/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8661973/pdf/JMV-94-858.pdf
35163638,PMC8835786,SARS-CoV-2-Specific Immune Response and the Pathogenesis of COVID-19.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8835786/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8835786/pdf/ijms-23-01716.pdf
35105985,PMC9127978,Pathological sequelae of long-haul COVID.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9127978/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9127978/pdf/nihms-1804958.pdf
34845562,PMC8629735,Long COVID from rheumatology perspective - a narrative review.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8629735/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8629735/pdf/10067_2021_Article_6001.pdf
34140635,PMC8209771,Chronic post-COVID-19 syndrome and chronic fatigue syndrome: Is there a role for extracorporeal apheresis?,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8209771/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8209771/pdf/41380_2021_Article_1148.pdf
34619491,PMC8482840,Onset and frequency of depression in post-COVID-19 syndrome: A systematic review.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8482840/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8482840/pdf/main.pdf
34319569,PMC8317481,"Long COVID, a comprehensive systematic scoping review.",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8317481/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8317481/pdf/15010_2021_Article_1666.pdf
34809664,PMC8607226,An attempt to explain the neurological symptoms of Myalgic Encephalomyelitis/Chronic Fatigue Syndrome.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8607226/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8607226/pdf/12967_2021_Article_3143.pdf
34940980,PMC8646640,Intravenous immunoglobulin as an important adjunct in the prevention and therapy of coronavirus 2019 disease.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8646640/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8646640/pdf/SJI-94-e13101.pdf
34160029,PMC8420624,Apparent Discordance Between the Epidemiology of COVID-19 and Recommended Outcomes and Treatments: A Scoping Review.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8420624/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8420624/pdf/pzab155.pdf
34024217,PMC8146298,"Long COVID or post-COVID-19 syndrome: putative pathophysiology, risk factors, and treatments.",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8146298/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8146298/pdf/INFD_0_1924397.pdf
34384972,PMC8317446,"Post COVID-19 Syndrome (""Long COVID"") and Diabetes: Challenges in Diagnosis and Management.",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8317446/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8317446/pdf/main.pdf
34265229,PMC8450986,"Symptoms, complications and management of long COVID: a review.",review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8450986/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8450986/pdf/10.1177_01410768211032850.pdf
34175230,PMC8180841,Insights from myalgic encephalomyelitis/chronic fatigue syndrome may help unravel the pathogenesis of postacute COVID-19 syndrome.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8180841/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8180841/pdf/main.pdf
34067776,PMC8156194,Post-COVID-19 Syndrome and the Potential Benefits of Exercise.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8156194/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8156194/pdf/ijerph-18-05329.pdf
34066174,PMC8151698,A Review of Prolonged Post-COVID-19 Symptoms and Their Implications on Dental Management.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8151698/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8151698/pdf/ijerph-18-05131.pdf
33941272,PMC8090526,COVID-19 and Alzheimer's disease: how one crisis worsens the other.,review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8090526/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8090526/pdf/40035_2021_Article_237.pdf
